Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2018,1049,London District Energy LP,London District Energy,London,221330,41216.543,0,17.052,230.95,0,0,0,0,41465,41465,41465,Internat Energy Solutions Canada
2018,1076,Ingredion Canada Corporation,Ingredion Canada Incorporated - London Plant,London,311221,125505.9,0,51.87,682,0,0,0,0,126240,126240,126240,Price Waterhouse Coopers LLP
2018,1086,Labatt Brewing Company Ltd,Labatt Brewing Company Ltd,London,312120,24663.685,0,10.206,134.23,0,0,0,0,24809,24809,24809,Internat Energy Solutions Canada
2018,1090,London Health Sciences Centre,Victoria Hospital,London,622111,46436,0,171.045,337.28,0,0,0,0,46945,46945,46945,GHD
2018,1153,The University of Western Ontario,Main Campus,London,611310,52621.98,0,21.84,307.83,0,0,0,0,52952,52952,52952,GHD Limited
2018,1185,Great Lakes Copper Ltd.,Great Lakes Copper Ltd.,London,331420,13278.95,0,5.4936,72.292,0,0,0,0,13357,13357,13357,
2018,1361,Kaiser Aluminum Canada Limited,Kaiser Aluminum Canada Limited,London,331317,18131.885,0,7.497,98.58,0,0,0,0,18238,18238,18238,
2018,1404,Corporation of the City of London,Greenway Pollution Control Centre,London,221320,926,27874,1.575,13265.055,0,0,0,0,42067,14193,14193,
2018,1408,3M Canada Company,LONDON,London,322220,10065.72,0,4.2,55.8,0,0,0,0,10126,10126,10126,
2010,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,32760,0,8,102,0,0,0,,32870,32870,,
2011,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,33428.81,0,8.4,111.6,0,0,0,,33549,33549,33549,Conestoga-Rovers & Associates Limited (CRA)
2012,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,29732,0,7.77,102.3,0,0,0,,29843,29843,29843,Conestoga-Rovers & Associates Limited (CRA)
2013,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,32659.1,0,8.61,114.7,0,0,0,,32783,32783,32783,Conestoga-Rovers & Associates Limited (CRA)
2014,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,31041.5,0,8.4,111.6,0,0,0,,31162,31162,31162,Conestoga-Rovers & Associates Limited (CRA)
2015,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,33586,0,8.82,117.8,0,0,0,0,33713,33713,33713,GHD Limited (formerly CRA)
2016,1078,"Innophos Canada, Inc.","Innophos Canada, Inc.",Lowbanks,325189,31858,0,8.4,111.6,0,0,0,0,31978,31978,31978,GHG Limited
2017,1078,"Innophos Canada, Inc.","Innophos Canada, Inc.",Lowbanks,325189,33087,0,9.03,120.9,0,0,0,0,33217,33217,33217,Intranet Energy Solutions Canada
2018,1078,"Innophos Canada, Inc.","Innophos Canada, Inc.",Lowbanks,325189,34908,0,9.66,127.1,0,0,0,0,35045,35045,35045,Internat Energy Solutions Canada
2015,1229,IKO Industries Ltd.,IKO Madoc,Madoc,212398,15099,0,6.237,82.15,0,0,0,0,15188,15188,15188,RWDI AIR Inc.
2016,1229,IKO Industries Ltd.,IKO Madoc,Madoc,212398,19644.09,0,8.127,106.95,0,0,0,0,19760,19760,19760,RWDI AIR Inc.
2017,1229,IKO Industries Ltd.,IKO Madoc,Madoc,212398,20308.95,0,8.4,110.67,0,0,0,0,20429,20429,20429,RWDI
2018,1229,IKO Industries Ltd.,IKO Madoc,Madoc,212398,22195.8389,0,9.1913,121.3557,0,0,0,0,22327,22327,22327,
2010,1067,Hiram Walker & Sons,Pike Creek,Maidstone Township,493190,0,0,0,0,0,0,0,,0,0,,
2010,1034,Dyno Nobel Nitrogen Inc.,Maitland,Maitland,325313,12080,0,2854,4819,0,0,0,,19752,19752,,
2010,1082,INVISTA (Canada) Company,INVISTA (Canada) Company - Maitland Site,Maitland,325190,222576,0,75,989,0,0,0,,223640,223640,,
2011,1082,INVISTA (Canada) Company,Maitland Site,Maitland,325190,232228.6585,0,78.771,1038.5,0,0,0,,233346,233346,233346,Conestoga-Rovers & Associates Limited (CRA)
2012,1034,Dyno Nobel Nitrogen Inc.,Maitland,Maitland,325313,3170.329,0,1.3619,18.011,0,0,0,,3190,3190,3190,
2012,1082,INVISTA (Canada) Company,Maitland Site,Maitland,325190,262337.293,0,94.08,1233.8,0,0,0,,263666,263666,263666,Conestoga-Rovers & Associates Limited (CRA)
2013,1082,INVISTA (Canada) Company,Maitland Site,Maitland,325190,234946.57,0,81.06,1066.4,0,0,0,,236095,236095,236095,Conestoga-Rovers & Associates Limited (CRA)
2014,1082,INVISTA (Canada) Company,Maitland Site,Maitland,325190,95346.95,0,21.42,282.1,0,0,0,,95651,95651,95651,Conestoga-Rovers & Associates Limited (CRA)
2015,1082,INVISTA (Canada) Company,Maitland Site,Maitland,325190,85928.012,0,17.01,223.2,0,0,0,0,86169,86169,86169,GHD Limited (formerly CRA)
2016,1082,INVISTA (Canada) Company,INVISTA (Canada) Company-Maitland Site,Maitland,325190,95704.98,0,22.68,297.6,0,0,0,0,96026,96026,96026,GHD Limited (formerly CRA)
2017,1082,INVISTA (Canada) Company,INVISTA (Canada) Company-Maitland Site,Maitland,325190,98901.99,0,23.1063,304.079,0,0,0,0,99230,99230,99230,RWDI Air Inc.
2018,1082,INVISTA (Canada) Company,INVISTA (Canada) Company-Maitland Site,Maitland,325190,93524.8879,0,20.6476,271.7677,81.3795,0,0,0,93899,93899,93899,RWDI Air Inc
2011,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,975.5787,0,0.4032,5.301,0,0,0,,982,982,982,
2012,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,725.946,0,0.3024,3.999,0,0,0,,731,731,731,
2013,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,788.1604,0,0.3297,4.34,0,0,0,,793,793,793,
2014,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,883.9817,0,0.3696,4.867,0,0,0,,890,890,890,
2015,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,879.0127,0,0.3675,4.836,0,0,0,0,885,885,885,
2015,1246,Markham District Energy Inc.,Warden Energy Centre,Markham,221330,22606.65,0,9.3534,123.0663,0,0,0,0,22740,22740,22740,RWDI AIR Inc.
2016,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,613.74,0,0.2562,3.379,0,0,0,0,618,618,618,
2016,1246,Markham District Energy Inc.,Warden Energy Centre,Markham,221330,20672.66,0,84.21,151.9,0,0,0,0,20909,20909,20909,RWDI AIR Inc.
2017,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,767.9,0,0.3171,4.185,0,0,0,0,773,773,773,
2017,1246,Markham District Energy Inc.,Warden Energy Centre,Markham,221330,21223.61,0,82.32,155,0,109.07,0,0,21570,21570,21461,RWDI
2018,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,767.9,0,0.3171,4.185,0,0,0,0,773,773,773,
2018,1246,Markham District Energy Inc.,Warden Energy Centre,Markham,221330,23004.03,0,91.35,167.4,0,344.903,0,0,23608,23608,23263,
2016,1356,Alamos Gold Incorporated,Young-Davidson,Matachewan,212220,12194.442,0,4.074,270.32,0,0,0,0,12469,12469,12469,RWDI AIR Inc.
2017,1356,Alamos Gold Incorporated,Young-Davidson,Matachewan,212220,12130.341,0,4.053,268.987,0,0,0,0,12404,12404,12404,
2018,1356,Alamos Gold Incorporated,Young-Davidson,Matachewan,212220,13986.731,0,4.704,311.24,0,0,0,0,14303,14303,14303,
2010,1121,Roxul Inc.,Roxul Inc.,Milton,327990,38336,0,8,84,0,0,0,,38429,38429,,
2011,1121,Roxul Inc.,ROXUL INC.,Milton,327990,60890.9,0,12.1781,129.5366,0,0,0,,61033,61033,61033,Conestoga-Rovers & Associates Limited (CRA)
2012,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,66083.5,0,14.2439,152.8703,0,0,0,,66251,66251,66251,Conestoga-Rovers & Associates Limited (CRA)
2013,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,92532.5,0,19.3326,206.6429,0,0,0,,92759,92759,92759,Conestoga-Rovers & Associates Limited (CRA)
2014,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,88287.3,0,18.892,202.3432,0,0,0,,88509,88509,88509,Conestoga-Rovers & Associates Limited (CRA)
2015,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,82905.7,0,17.8592,191.1057,0,0,0,0,83115,83115,83115,GHD Limited (formerly CRA)
2016,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,80784.6,0,17.115,184.1028,0,0,0,0,80986,80986,80986,GHD Limited (formerly CRA)
2017,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,86942.8,0,18.27,198.4,0,0,0,0,87160,87160,87160,Stantec Consulting Ltd
2018,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,83252.2,0,17.703,191.735,0,0,0,0,83462,83462,83462,Stantec Consulting Ltd.
2010,1024,Certainteed Gypsum Canada,Mississauga Wallboard Plant,Mississauga,327420,25028,0,10,136,0,0,0,,25175,25175,,
2010,1069,Holcim (Canada) inc.,Mississauga Plant,Mississauga,327310,1084571,0,0,0,0,0,0,,1084571,1084571,,
2010,1111,Petro-Canada,Mississauga Lubricant Center,Mississauga,324190,364917,0,623,2039,0,0,0,,367579,343915,,
2010,1142,TransAlta Cogeneration LP,Mississauga Cogeneration Plant,Mississauga,221112,371977,0,502,2863,0,0,0,,375342,375342,,
2011,1024,CERTAINTEED GYPSUM CANADA INC.,Toronto Board Plant,Mississauga,327420,24952,0,10.332,135.78,0,0,0,,25099,25099,25099,Conestoga-Rovers & Associates Limited (CRA)
2011,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,64796.639,0,27.909,386.57,0,158.6,0,,65370,65370,65370,
2011,1069,Holcim (Canada) inc.,Mississauga Cement Plant,Mississauga,327310,973712,0,2915.7513,813.595,0,0,0,,977442,977442,977442,PricewaterhouseCoopers LLP
2011,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,391106.6427,0,618.4185,2136.117,0,0,0,,393862,393862,393862,Conestoga-Rovers & Associates Limited (CRA)
2011,1115,Poly-Cel Packaging Products,Mississauga Facility,Mississauga,326111,176,0,0,0,0,0,0,,176,0,0,
2011,1142,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Mississauga,221112,337039.8042,0,454.9566,2593.863,0,0,0,,340089,340089,340089,Ernst & Young LLP
2012,1024,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,Mississauga,327420,24564,0,10.164,133.734,0,0,0,,24708,24708,24708,Conestoga-Rovers & Associates Limited (CRA)
2012,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,63248.243,0,27.111,373.24,0,276.9,0,,63926,63926,63926,
2012,1069,Holcim (Canada) inc.,Mississauga Cement Plant,Mississauga,327310,1075170.82,0,2999.8206,804.233,0,0,0,,1078975,1078975,1078975,PricewaterhouseCoopers LLP
2012,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,388452.4401,0,744.5823,2018.627,0,0,0,,391216,391216,391216,Conestoga-Rovers & Associates Limited (CRA)
2012,1115,Poly-Cel Packaging Products,Mississauga Facility,Mississauga,326111,0,0,0,0,0,0,0,,0,0,0,
2012,1142,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Mississauga,221112,367220.6693,0,495.6966,2826.146,0,0,0,,370543,370543,370543,Ernst & Young LLP
2013,1024,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,Mississauga,327420,23027,0,9.5277,125.364,0,0,0,,23162,23162,23162,Conestoga-Rovers & Associates Limited (CRA)
2013,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,48573.262,0,21.147,302.87,0,24.7,0,,48922,48922,48922,
2013,1069,Holcim (Canada) inc.,Mississauga Cement Plant,Mississauga,327310,985926,0,2293.5003,864.342,0,0,0,,989084,989084,989084,PricewaterhouseCoopers LLP
2013,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,370885.3012,0,703.8633,2015.217,0,0,0,,373605,373605,373605,Conestoga-Rovers & Associates Limited (CRA)
2013,1142,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Mississauga,221112,362603.2531,0,489.4638,2790.62,0,0,0,,365884,365884,365884,Ernst & Young LLP
2014,1024,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,Mississauga,327420,25916,0,10.7226,141.112,0,0,0,,26068,26068,26068,Conestoga-Rovers & Associates Limited (CRA)
2014,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,59652.5,0,25.9442,371.0018,0,1018.3,0,,61068,61068,61068,
2014,1069,Holcim (Canada) inc.,Mississauga Cement Plant,Mississauga,327310,982900,0,1684.977,792.36,0,0,0,,985378,985378,985378,PricewaterhouseCoopers LLP
2014,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,408414.6917,0,707.3556,2298.681,0,0,0,,411421,411421,411421,Conestoga-Rovers & Associates Limited (CRA)
2014,1142,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Mississauga,221112,340982.552,0,460.2801,2624.212,0,0,0,,344068,344068,344068,Ernst & Young LLP
2015,1024,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,Mississauga,327420,24545.3,0,10.1556,133.641,0,0,0,0,24690,24690,24690,GHD Limited (formerly CRA)
2015,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,91648.19,0,39.501,549.94,0,0,0,0,92238,92238,92238,Enviro-Access Inc.
2015,1069,CRH Canada Group Inc.,Mississauga Cement Plant,Mississauga,327310,1053263,0,6128.3817,892.862,0,0,0,0,1060285,1060285,1060285,PricewaterhouseCoopers LLP
2015,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,370439.4899,0,728.9352,2060.787,0,0,0,0,373230,373230,373230,GHD Limited (formerly CRA)
2015,1142,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Mississauga,221112,368819.047,0,497.847,2838.36,0,0,0,0,372156,372156,372156,Ernst & Young LLP
2015,1171,Real Alloy Canada Ltd.,Real Alloy Mississauga,Mississauga,331317,15871.167,0,6.552,90.83,0,0,0,0,15969,15969,15969,RWDI AIR Inc.
2015,1183,Tonolli Canada,TONOLLI CANADA LIMITED,Mississauga,331490,21975.23,0,40.2129,54.963,0,0,0,0,22071,22071,22071,
2015,1227,Booth Centennial Healthcare Linen Services,BOOTH CENTENNIAL HEALTHCARE LINEN SERVICES,Mississauga,812320,11147.73,0,4.62,65.1,0,0,0,0,11218,11218,11218,GHD Limited (formerly CRA)
2015,1251,"Genpak, Division of Great Pacific Enterprises LP",GENPAK MISSISSAUGA,Mississauga,326140,12076,0,5.04,65.1,0,0,0,0,12147,12147,12147,RWDI AIR Inc.
2016,1024,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,Mississauga,327420,23145,0,9.576,125.984,0,0,0,0,23281,23281,23281,GHD Limited (formerly CRA)
2016,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,66417.06,0,28.497,390.6,0,0,0,0,66837,66837,66837,Enviro-Access Inc.
2016,1069,CRH Canada Group Inc.,Mississauga Cement Plant,Mississauga,327310,1011849,0,5195.0073,734.421,0,0,0,0,1017779,1017779,1012697,PricewaterhouseCoopers LLP
2016,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,406651.4011,0,693.5817,2183.578,0,0,0,0,409529,409529,409529,GHD Limited (formerly CRA)
2016,1142,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Mississauga,221112,348870.0402,0,470.925,2684.91,0,0,0,0,352026,352026,352026,Ernst & Young LLP
2016,1171,Real Alloy Canada Ltd.,Real Alloy Mississauga,Mississauga,331317,14988.168,0,6.1984,82.8413,0,0,0,0,15078,15078,15078,RWDI AIR Inc.
2016,1183,Tonolli Canada,TONOLLI CANADA LIMITED,Mississauga,331490,23613.74,0,42.6195,59.83,0,0,0,0,23717,23717,23677,
2016,1227,Booth Linen Services LP,Booth Linen Services LP,Mississauga,812320,11302,0,4.62,65.1,0,0,0,0,11372,11372,11372,GHD Limited (formerly CRA)
2016,1251,"Genpak, Division of Great Pacific Enterprises LP",GENPAK MISSISSAUGA,Mississauga,326140,12431,0,5.04,68.2,0,0,0,0,12505,12505,12505,RWDI AIR Inc.
2016,1345,Ontario Clean Water Agency,G.E. Booth (Lakeview) Wastewater Treatment Facility,Mississauga,221320,4211.477,66084.383,1561.317,11535.8245,0,0,0,0,83394,17309,17309,
2016,1346,SUPER-PUFFT SNACKS CORPORATION,SUPER-PUFFT SNACKS CORPORATION,Mississauga,311919,11792.72,0,4.83,65.1,0,0,0,0,11863,11863,11863,GHD Limited (formerly CRA)
2017,1024,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,Mississauga,327420,25171,0,10.4139,137.051,0,0,0,0,25319,25319,25319,Internat Energy Solutions Canada Inc.
2017,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,63396.837,0,26.418,384.09,0,0,0,0,63808,63808,63808,Enviro-Access Inc.
2017,1069,CRH Canada Group Inc.,Mississauga Cement Plant,Mississauga,327310,1119922.78,0,2833.929,938.06,0,0,0,0,1123695,1123695,1120969,GHD Limited
2017,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,446272.1794,0,941.0037,2308.043,0,0,0,0,449522,449522,449522,Ruby Canyon Engineering
2017,1142,TransAlta Generation Partnership,Mississauga Cogeneration Plant,Mississauga,221112,0,0,0,0,0,0,0,0,0,0,0,GHD
2017,1171,Real Alloy Canada Ltd.,Real Alloy Mississauga,Mississauga,331317,14963,0,6.1824,83.2071,0,0,0,0,15053,15053,15053,GHD Limited
2017,1183,Revolution VSC Acquisition GP,TONOLLI CANADA,Mississauga,331490,22606,0,45.3537,52.018,0,0,0,0,22704,22704,22664,
2017,1227,Ecotex Healthcare Linen Service LP,Ecotex Healthcare Linen Service LP,Mississauga,812320,10689.73,0,4.41,62,0,0,0,0,10757,10757,10757,GHD
2017,1251,"Genpak, Division of Great Pacific Enterprises LP",GENPAK MISSISSAUGA,Mississauga,326140,13256,0,5.46,71.3,0,0,0,0,13333,13333,13333,
2017,1345,Ontario Clean Water Agency,G.E. Booth (Lakeview) Wastewater Treatment Facility,Mississauga,221320,3860,62101.09,1467.3515,13411.1757,0,0,0,0,80840,18739,18739,
2017,1346,SUPER-PUFFT SNACKS CORPORATION,SUPER-PUFFT SNACKS CORPORATION,Mississauga,311919,12549.84,0,5.25,68.2,0,0,0,0,12624,12624,12624,GHD
2018,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,77343.796,0,32.403,475.54,0,0,0,0,77852,77852,77852,Enviro-access Inc.
2018,1069,CRH Canada Group Inc.,Mississauga Cement Plant,Mississauga,327310,1010346.78,0,3655.092,2466.67,0,0,0,0,1016469,1016469,1013730,GHD Limited
2018,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,447728.7359,0,1255.4682,2344.282,0,0,0,0,451329,451329,451329,Ruby Canyon Engineering
2018,1024,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,Mississauga,327420,31769.4,0,13.1439,172.949,0,0,0,0,31956,31956,31956,
2018,1171,Real Alloy Canada Ltd.,Real Alloy Mississauga,Mississauga,331317,12373.98,0,5.0999,67.2235,0,0,0,0,12447,12447,12447,
2018,1183,Revolution VSC Acquisition GP,TONOLLI CANADA,Mississauga,331490,22007.51,0,94.1598,51.336,0,0,0,0,22154,22154,22062,
2018,1227,Ecotex Healthcare Linen Service LP,Ecotex Healthcare Linen Service LP,Mississauga,812320,9213,0,3.78,52.7,0,0,0,0,9270,9270,9270,
2018,1251,"Genpak, Division of Great Pacific Enterprises LP",GENPAK MISSISSAUGA,Mississauga,326140,13550,0,5.67,74.4,0,0,0,0,13631,13631,13631,
2018,1345,Ontario Clean Water Agency,G.E. Booth (Lakeview) Wastewater Treatment Facility,Mississauga,221320,4880,71691.6179,1450.7376,13261.6097,0,0,0,0,91284,19593,19593,
2018,1346,SUPER-PUFFT SNACKS CORPORATION,SUPER-PUFFT SNACKS CORPORATION,Mississauga,311919,13706.9,0,5.67,74.4,0,0,0,0,13787,13787,13787,
2010,1091,Rothsay,Moorefield Site,Moorefield,311614,26262,0,11,143,0,0,0,,26416,26416,,
2011,1091,Rothsay,Moorefield Site,Moorefield,311614,26054,0,10.71,142.6,0,0,0,,26208,26208,26208,Conestoga-Rovers & Associates Limited (CRA)
2012,1091,Rothsay,Moorefield Site,Moorefield,311614,23844,0,9.87,130.2,0,0,0,,23985,23985,23985,Conestoga-Rovers & Associates Limited (CRA)
2013,1091,"Rothsay, a Division of Darling International Canada Inc.",Moorefield Site,Moorefield,311614,23396,0,9.66,127.1,0,0,0,,23533,23533,23533,Conestoga-Rovers & Associates Limited (CRA)
2014,1091,"Rothsay, a Division of Darling International Canada Inc.",Moorefield Site,Moorefield,311614,23248,0,9.66,127.1,0,0,0,,23385,23385,23385,Conestoga-Rovers & Associates Limited (CRA)
2015,1091,"Rothsay, a Division of Darling International Canada Inc.",Moorefield Site,Moorefield,311614,23046,0,9.45,124,0,0,0,0,23180,23180,23180,GHD Limited (formerly CRA)
2016,1091,"Rothsay, a Division of Darling International Canada Inc.",Moorefield Site,Moorefield,311614,22737,0,9.408,123.783,0,0,0,0,22871,22871,22871,GHD Limited (formerly CRA)
2017,1091,"Rothsay, a Division of Darling International Canada Inc.",Moorefield,Moorefield,311614,23608.63,0,9.765,128.65,0,0,0,0,23748,23748,23748,Internat Energy Solutions Canada
2018,1091,Darling International Canada Inc.,Moorefield,Moorefield,311614,25687.244,0,10.626,139.81,0,0,0,0,25838,25838,25838,Internat Energy Solutions Canada
2010,1101,NOVA Chemicals (Canada),Moore Site,Mooretown,325210,56229,0,39,269,0,0,0,,56538,56538,,
2010,1134,Suncor Energy Products,St. Clair Ethanol Plant,Mooretown,325190,81756,0,44,443,0,0,0,,82245,82245,,
2011,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,53479.7704,0,43.8984,235.6,0,0,0,,53760,53760,53760,Ernst & Young LLP
2011,1134,Suncor Energy Products Inc.,St. Clair Ethanol Plant,Mooretown,325190,146659.0775,0,63.3192,797.816,0,0,0,,147521,147521,147521,Conestoga-Rovers & Associates Limited (CRA)
2012,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,58449.58,0,52.3446,243.753,0,0,0,,58746,58746,58746,Ernst & Young LLP
2012,1134,Suncor Energy Products Inc.,St. Clair Ethanol Plant,Mooretown,325190,154741.5259,0,66.6645,841.805,0,0,0,,155650,155650,155650,Conestoga-Rovers & Associates Limited (CRA)
2013,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,55715.5458,0,43.533,262.725,0,0,0,,56022,56022,56022,Ernst & Young LLP
2013,1134,Suncor Energy Products Inc.,St. Clair Ethanol Plant,Mooretown,325190,156889.7732,105.2205,67.5969,854.081,0,0,0,,157917,157811,157811,Conestoga-Rovers & Associates Limited (CRA)
2014,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,45535.931,0,32.13,226.61,0,0,0,,45795,45795,45795,Ernst & Young LLP
2014,1134,Suncor Energy Products Inc.,St. Clair Ethanol Plant,Mooretown,325190,157573.745,0,65.1504,857.212,0,0,0,,158497,158497,158497,Conestoga-Rovers & Associates Limited (CRA)
2015,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,48891.429,0,35.133,238.7,0,0,0,0,49166,49166,49166,GHD Limited (formerly CRA)
2015,1134,Suncor Energy Products Inc.,St. Clair Ethanol Plant,Mooretown,325190,161637.0877,0,66.8325,879.346,0,0,0,0,162584,162584,162584,GHD Limited (formerly CRA)
2016,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,49911.026,0,36.162,241.18,0,0,0,0,50189,50189,50189,GHD Limited (formerly CRA)
2016,1134,Suncor Energy Inc.,St. Clair Ethanol Plant,Mooretown,325190,160272.812,0,68.9535,871.937,0,0,0,0,161214,161214,161214,ERM CVS
2017,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,94804.566,0,50.484,490.11,0,0,0,0,95346,95346,95346,GHD Limited
2017,1134,Suncor Energy Inc.,St. Clair Ethanol Plant,Mooretown,325190,159268.5106,1128.11,65.8959,867.039,0,0,0,0,161330,160202,160202,ERM CVS
2018,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,47802.861,0,31.206,233.12,0,0,0,0,48068,48068,48068,GHD Limited
2018,1134,Suncor Energy Inc.,St. Clair Ethanol Plant,Mooretown,325190,156813.6626,1128.11,64.8816,853.678,0,0,0,0,158861,157733,157733,Ernst & Young LLP
2010,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1058076,0,4867,4387,0,1,0,,1067330,1067330,,
2010,1107,Ontario Power Generation,Nanticoke Generating Station,Nanticoke,221112,8538600,0,11461,43594,0,0,0,,8593656,8593656,,
2011,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1013682.048,0,5968.8258,3679.7,0,0,0,,1023331,1023331,1023331,Conestoga-Rovers & Associates Limited (CRA)
2011,1107,Ontario Power Generation Inc.,Nanticoke Generating Station,Nanticoke,221112,2816530,0,3268.0536,14470.428,0,0,0,,2834269,2834269,2834269,Ernst & Young LLP
2012,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1071269.292,0,5577.0204,3969.984,0,0,0,,1080817,1080817,1080817,Conestoga-Rovers & Associates Limited (CRA)
2012,1107,Ontario Power Generation Inc.,Nanticoke Generating Station,Nanticoke,221112,2008720,0,692.79,10533.8,0,0,0,,2019947,2019947,2019947,Ernst & Young LLP
2013,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1090935.4,0,6203.295,3899.8,0,0,0,,1101039,1101039,1101039,Conestoga-Rovers & Associates Limited (CRA)
2013,1107,Ontario Power Generation Inc.,Nanticoke Generating Station,Nanticoke,221112,1529141,0,518.7,8432,0,0,0,,1538092,1538092,1538092,Ernst & Young LLP
2014,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1146685.3,0,6350.6247,4023.8,0,0,0,,1157060,1157060,1157060,Conestoga-Rovers & Associates Limited (CRA)
2014,1107,Ontario Power Generation Inc.,Nanticoke Generating Station,Nanticoke,221112,13780,0,74.55,114.7,0,0,0,,13970,13970,13970,Ernst & Young LLP
2015,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1104988.7,0,6014.61,3806.8,0,0,0,0,1114811,1114811,1114811,Stantec Consulting Ltd.
2015,1107,Ontario Power Generation Inc.,Nanticoke Generating Station,Nanticoke,221112,5739.11,0,31.5,46.5,0,0,0,0,5818,5818,5818,Ernst & Young LLP
2016,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1070684.3,0,5516.28,3614.6,0,0,0,0,1079816,1079816,1079816,Stantec Consulting Ltd.
